genus	ERR2162200	ERR2162201	ERR2162202	ERR2162203	ERR2162204	ERR2162205	ERR2162206	ERR2162207	ERR2162208	ERR2162209	ERR2162210	ERR2162211	ERR2162212	ERR2162213	ERR2162214	ERR2162215	ERR2162216	ERR2162217	ERR2162218	ERR2162219	ERR2162220	ERR2162221	ERR2162222	ERR2162223	ERR2162224
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	0.06745	0.06206	0.07313	0.8285	0.08583	0.20304	0	1.66228	0.92917	1.59949	1.32673	0.79891	0.38911	2.3229	1.53758	1.54892	3.43891	0.8787	1.64525	1.1738	0.79108	0.1679	0.56997	0	2.1624
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname	0	0.00642	0.09276	0	0	0	1.11631	0	0	0.05063	0.02325	0	0	0.08176	0	0	0.09201	0	0	0.1797	0.02075	0	0.05948	0.0951	0.00669
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0.01777	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	0	0.02474	2.38585	0	0.00371	0.01533	0	0.40466	0.0204	0.35337	0.0135	0.01549	0.07178	0	0	0.0202	0.73971	0	0.17765	0.0248	0.18953	0.03164	0	0.08748	0.3963
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	0	4.76036	6.96043	18.45048	2.11783	5.82314	0	5.13081	2.54102	0	2.22216	1.79296	5.10717	5.97239	8.98954	0.96663	0.18901	3.5643	3.76114	5.18824	4.23857	7.12353	9.07669	3.51956	1.16966
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_noname	0	0	0	0.00831	0.01663	0.0011	0	0.74275	0.31533	0	0	0.00104	0	0.15127	0.00673	0.00179	0	0	0.05049	0.00496	0.0244	0.00284	0.11582	0	0.00059
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	0	0.49898	3.99563	0.20316	0.24868	2.46614	0	0	0	1.49152	1.37646	0	2.15627	1.09969	2.41065	1.4289	0	1.65998	1.27893	3.46946	4.89262	0.79098	2.60003	0	3.55178
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	0.32076	2.82755	1.35303	5.66234	2.66281	5.44499	4.62161	4.59478	2.09266	0.29905	1.37412	2.24419	14.63866	2.30401	0.31125	1.51864	13.70422	0.91258	7.11011	5.6342	2.87537	9.38714	3.68462	0.0787	5.79161
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium	0	0	0	0.14819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2542	0	0	0	0.43053
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	0	0	0.21788	0	0	0	0.02098	0.04187	0	0.03235	0	0.00628	0	0.01615	0.02915	0.01637	0.05679	0.02083	0.07032	0	0	0	0	0	0.02526
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname	0.01727	1.50404	0.02403	0.18429	0.01377	0.00846	0.0011	0.00232	0	0.00093	0.00146	0	0.00517	0.00354	0.0421	0.00394	0.15172	0	0.03521	0	0.10137	0.06947	0	0	1.02146
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania	0.01018	0.00485	0.57455	0.00756	0.01247	0.15803	0.14044	0.26092	0.0707	0.17762	0	0	0.05561	0.02006	0.11354	0.21407	0.14605	0.04632	0.24035	0.01399	0.10358	0.01817	0.0313	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.33174	0	0	0	0	0	0	0	0	0	0	0	0
