# Constructed from biom file
#OTU ID	Wargo.109865.R1	Wargo.115690.R1	Wargo.116774.R1	Wargo.117349.R1	Wargo.118369.R1	Wargo.118370.R1	Wargo.120662.R1	Wargo.121296.R1	Wargo.121409.R1	Wargo.121585.R1	Wargo.121891.R1	Wargo.121892.R1	Wargo.122114.R1	Wargo.122410.R1	Wargo.122412.R1	Wargo.122637.R1	Wargo.122639.R1	Wargo.122724.R1	Wargo.123009.R1	Wargo.123197.R1	Wargo.123305.R1	Wargo.123704.R1	Wargo.123986.R1	Wargo.124418.R1	Wargo.124419.R1	Wargo.124421.R1	Wargo.126747.R1	Wargo.126802.R1	Wargo.127261.R1	Wargo.127262.R1	Wargo.130510.R1	Wargo.130511.R1	Wargo.130801.R1	Wargo.131051.R1	Wargo.131300.R1	Wargo.131302.R1	Wargo.131512.R1	Wargo.131541.R1	Wargo.132265.R1	Wargo.132266.R1	Wargo.132268.R1	Wargo.132538.R1	Wargo.133270.R1	taxonomy
Anaerococcus_lactolyticus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales_Incertae_Sedis_XI; g__Anaerococcus
Anaerococcus_senegalensis	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales_Incertae_Sedis_XI; g__Anaerococcus
Anaerococcus_vaginalis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales_Incertae_Sedis_XI; g__Anaerococcus
Anaerofustis_stercorihominis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Anaerofustis
Anaerosinus_glycerini	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Veillonellaceae; g__Anaerosinus
Anaerosporobacter_mobilis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1; g__Anaerosporobacter
Anaerostipes_butyraticus	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes
Anaerostipes_caccae	0.0	0.0	6.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	12.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	8.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes
Anaerotruncus_colihominis	0.0	0.0	27.0	15.0	1.0	9.0	0.0	0.0	3.0	3.0	7.0	0.0	3.0	4.0	0.0	5.0	0.0	12.0	0.0	0.0	4.0	22.0	0.0	0.0	0.0	0.0	1.0	1.0	5.0	0.0	0.0	1.0	0.0	39.0	0.0	0.0	9.0	0.0	4.0	1.0	0.0	1.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Anaerotruncus
Arcobacter_butzleri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Arcobacter
