genus	SRR5930493	SRR5930494	SRR5930495	SRR5930496	SRR5930497	SRR5930498	SRR5930499	SRR5930500	SRR5930501	SRR5930502	SRR5930503	SRR5930504	SRR5930505	SRR5930506	SRR5930507	SRR5930508	SRR5930509	SRR5930510	SRR5930511	SRR5930512	SRR5930513	SRR5930514	SRR5930515	SRR5930516	SRR5930517	SRR5930518	SRR5930519	SRR5930520	SRR5930521	SRR5930522	SRR5930523	SRR5930524	SRR5930525	SRR5930526	SRR5930527	SRR5930528	SRR5930529	SRR5930530	SRR5930531	SRR5930532	SRR5930533	SRR5930534	SRR5930535	SRR5930536
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0	0.00279	0.00535	0	0	0.03199	0.00234	0.00228	0.01494	0	0	0	0	0	0	0.00253	0	0.00202	0.01725	6.90972	0.00559	0.00348	1.29318	0	0.11481	0	0	0	0	0.00106	0	0.15147	0.00968	0	0	0.00326	0	0	0	0.80522	0.00108	0.32995	0.00066	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	0.01524	0.01168	0.00262	0.0006	0	0.35056	0.14546	0.07064	0.4022	0.01982	0.08162	0.02177	0.01235	0.17031	0.06264	1.09504	0.04721	0.00299	0.00639	0.19556	0.00432	0.0172	0.00729	11.58487	9.4078	0.0953	0.51393	3.24135	0.00045	0.65596	2.91565	0.00846	0.0067	0.01381	0.12761	0.0057	0.022	0.04694	0.01822	7.32498	0	0.17144	0.98639	0.01349
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05603	0	0.01122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01303	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc	0	0	0.00491	0.01387	0	0	0	0	0	0.00205	0	0	0	0	0.02881	0	0.01694	0	0.00765	0	0	0	0	0	0	0.00653	0	0.01569	0.00487	0	0.0036	0	0	0	0	0	0	0	0	0	0	0.30611	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella	0	0	0	0	0	0.04577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	0	0	0.02511	0.02613	0.00101	0.0324	0.11064	0.0976	0	0.00523	0.00236	0.01534	0.00965	0.02514	0.00504	0.01566	0.27805	0.04812	0.12357	0.01351	0.04671	0.0026	0.00083	0.00827	0	0.01065	0.00677	0.06673	0	0.07812	0	0.03681	0.0035	0.00732	0.01211	0.00469	0	0	0	0.08143	0	0.05066	0.02287	0.04032
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	0.03753	0.46823	1.00906	0.06899	0.3053	1.08937	0.32702	0.33602	0.20964	0.67707	0.03621	0.20172	2.40109	2.19758	0.45343	0.51726	0.92171	0.0558	0.6872	3.26453	0.34577	0.03832	0.0218	0.0398	0.74898	2.22219	1.53693	1.76605	0.76491	10.71332	0.08316	0.33393	0.32509	0.36621	0.1432	0.54835	0.095	0.11651	0.36173	14.90633	0.10437	0.75712	0.78566	0.12083
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Butyricicoccus	0	0	0	0	0.22253	0	0	0	0	0	0	0.00038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02151	0	0	0	0.00117	0.00022	0	0.42712	0.0014	0.01138	0	0	0	0	0	0	0.00027	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridiaceae_noname	0.02296	0.00737	0	0.01756	0.01387	0	0.00992	0.00858	0.03545	0	0	0	0.00513	0.12428	0.04257	0.21129	0	0.02671	0.14467	0.00735	0	0	0	0	0.0361	0	0	0.00089	0	1.03465	0.0171	0.00566	0	0.15377	0	0.03808	0.00084	0.01107	0.00698	0	0.07887	0.05719	0.06196	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	1.54686	1.13003	9.71178	1.96886	0.90399	3.41435	9.96772	9.32449	0.41864	5.8811	0.05862	4.5633	0.254	1.723	1.01286	3.42494	0.52167	1.52176	1.10071	1.92276	2.03556	3.68098	2.88145	0.3693	3.92504	1.15763	5.49107	0.21991	0.29561	4.79269	0.27017	0.53632	1.13592	0.24322	0.73385	6.44463	1.90394	0.35163	0.05419	6.28429	0.75689	0.67361	1.67053	1.49388
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_noname	0	0	0	0	0.00365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00056	0	0	0	0	0	0.0041	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified	0	0	0	0	0.00302	0.00092	0	0.00256	0.00659	0	0	0	0	0	0	0.00088	0.00147	0.02989	0.00281	0	0.00268	0.01063	0	0	0	0.01047	0.0014	0.00119	0.00145	0.01962	0.00488	0.0004	0	0	0	0	0	0	0.00214	0	0	0.00266	0.0054	0.00083
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Mogibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Anaerococcus	0	0	0	0.00545	0	0	0.09924	0.50368	0	0.00621	0	0	0.00644	0	0	0	0	0.04063	0	0	0	0	0.11259	0	0	0.00155	0.00567	0	0	0.15778	0	0	0	0.0026	0	0	0	0	0	0.00479	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Clostridiales_Family_XI_Incertae_Sedis_noname	0	0	0	0	0	0	0.00714	0.01506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01072	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Finegoldia	0	0	0	0.00097	0	0	0.02862	0.11646	0	0.00691	0	0	0.00464	0.00559	0	0	0	0	0	0	0	0	0.13913	0	0	0.00069	0.00972	0.00121	0	0.06233	0	0	0	0	0	0	0	0	0	0.00067	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Parvimonas	0	0	0	0	0	0	0	0	0.00159	0	0	0	0	0.00098	0	0	0	0.73928	0.00218	0.00655	0	0	0	0.00089	0	0.0013	0.00042	0	0	0.0105	0	0.00214	0	0.00328	0	0	0	0	0	0	0	0	0	0
