species	SRR5930493	SRR5930494	SRR5930495	SRR5930496	SRR5930497	SRR5930498	SRR5930499	SRR5930500	SRR5930501	SRR5930502	SRR5930503	SRR5930504	SRR5930505	SRR5930506	SRR5930507	SRR5930508	SRR5930509	SRR5930510	SRR5930511	SRR5930512	SRR5930513	SRR5930514	SRR5930515	SRR5930516	SRR5930517	SRR5930518	SRR5930519	SRR5930520	SRR5930521	SRR5930522	SRR5930523	SRR5930524	SRR5930525	SRR5930526	SRR5930527	SRR5930528	SRR5930529	SRR5930530	SRR5930531	SRR5930532	SRR5930533	SRR5930534	SRR5930535	SRR5930536
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia|s__Parascardovia_denticolens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00302	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_wiggsiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02187	0.00668	0	0	0	0.00718	0	0	0	0	0.00627	0.00203	0.03834	0.00273	0	0	0	0	0	0	0	0	0	0	0	0.00319	0	0	0.01257	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens	0.13639	0.59431	0.6451	1.41286	0.4936	0.52051	0	0	0.0013	0	0.16175	1.633	0.34521	0	0.26418	0.04039	0.05966	0.06911	0.14875	0.13966	0	0.02711	0.20358	0.07339	0.00223	0.12019	0	0.18754	0.09461	0.30153	0	0	0.56337	0.05926	0	0.62888	0.00037	0.06801	0.45873	2.42095	0.06962	0.23629	0.03034	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_parvulum	0.00056	0	0	0	0.00201	0	0.00768	0.00553	0.00527	0	0	0	0	0	0	0.00285	0.00218	0	0	0	0	0	0	0	0	0.0091	0.00877	0.00115	0.00567	0.00872	0	0	0	0.00581	0	0	0	0	0	0.01652	0	0	0.00658	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_rimae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00082	0	0	0	0.00049	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_vaginae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	1.29915	1.60375	0.00252	0.0072	0.54857	1.21271	0.00365	0.0047	0.83593	0.00104	0.81033	0.0049	0.51608	0.0081	3.28682	2.76492	0.02072	0.78752	10.19713	0.00252	0.00451	3.17961	0.00631	5.37638	2.81797	4.57615	0.00746	3.3358	3.42778	2.44777	0.02223	0.00428	1.75842	1.02379	0.00629	0.00641	0.01829	1.20887	1.82757	0.01467	0.88223	0.5097	2.44776	2.2058
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis	0	0	0	0	0	0.00018	2.07229	2.22873	0	0	0	0	0	0.00108	0.00046	0	0	0.00494	0	0	0	0	0	0	0	0	5.09119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00323	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_stercoris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00352	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00291	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_tanakaei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49359	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname|s__Coriobacteriaceae_bacterium_BV3Ac1	0	0	0	0	0	0	0.00679	0.08317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_lenta	0.00976	0.03401	0.02664	0.07168	0	0.00476	0.09975	0.1117	0.00038	0.08089	0.00334	0.11428	0.00025	0.01812	0.06162	0.02847	0.6889	0.01215	0.02214	0.02723	0.02759	0.0058	0	0.00034	0.00192	0.00708	0.00766	0.00316	0.01748	3.02812	0.00212	0	0.0196	0.19936	0.02271	0.00257	0.12393	0.00048	0.01965	0.02241	0.013	0.07204	0.01927	0.02067
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_sp_1_3_56FAA	0	0	0	0.2247	0	0	0.15716	0.16205	0	0	0	0	0	0	0	0	0	0	0	0.5396	0	0	0	0	0.79858	0.10807	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16379	0	0.47073	0	0.55476
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_sp_HGA1	0	0.48607	0.71548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4794	0	0	0	0	0	0	0	0	0.14693	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified	0.10046	0.47294	1.06044	0.13743	0.05909	0.05419	0.57992	0.63875	0.00888	0.4596	0.02639	1.08352	0.40675	0.98221	0.23426	0.06633	0.7862	0.3824	0.60482	0.44778	1.34905	0.06011	1.60057	0.00424	0.11588	0.0826	0.0104	0.01038	0.10422	4.00506	0.00757	0.0116	0.51778	0.24914	0.43913	2.33472	0.73854	0.01581	0.20468	0.70042	0.34522	0	0.02364	0.15497
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae	0.04971	0.01686	0.89086	0.21347	0.13692	0.03527	0.02087	0.02301	0	0.02034	0.00057	0.04978	0.31718	0.27481	0.01836	0.06168	0.13048	0.00456	0.26743	0.05372	0	0.01672	0.35771	0	0.00621	0.05803	0	0.00733	0.02541	0.31086	0.24347	0.41476	0.01445	0	0.09766	0.48707	0.26117	0.03769	0.03413	0	0.07137	0.12286	0.04576	0.17403
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_profusa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00597	0	0.00011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00614	0	0	0	0	0	0	0.01557	0.02029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0027	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_piriformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17969	0	0	0.15597	0	0	0	0	0	0	0.20891	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00282	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00479	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_barnesiae	0	0	0	0	0	0	0	0	3.25844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
