family	SRR5930493	SRR5930494	SRR5930495	SRR5930496	SRR5930497	SRR5930498	SRR5930499	SRR5930500	SRR5930501	SRR5930502	SRR5930503	SRR5930504	SRR5930505	SRR5930506	SRR5930507	SRR5930508	SRR5930509	SRR5930510	SRR5930511	SRR5930512	SRR5930513	SRR5930514	SRR5930515	SRR5930516	SRR5930517	SRR5930518	SRR5930519	SRR5930520	SRR5930521	SRR5930522	SRR5930523	SRR5930524	SRR5930525	SRR5930526	SRR5930527	SRR5930528	SRR5930529	SRR5930530	SRR5930531	SRR5930532	SRR5930533	SRR5930534	SRR5930535	SRR5930536
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2.3782	6.87419	4.89544	0.33118	0.36214	0.416	1.52781	1.50153	1.82293	1.01384	0.06446	1.82567	4.60282	0.46202	0.57335	0.53857	1.71013	0.21327	0.58314	0.4921	0.32848	1.54897	0.50009	2.63731	6.17902	0.67602	3.41478	0.49154	0.17309	2.68843	0.16099	0.07175	9.10052	2.48279	0.1788	6.85314	0.13418	0.06344	0.19457	1.09571	0.84774	0.2441	0.45636	2.20382
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	0.15758	0.00195	0	0	0.00091	0.71248	0	0	0	0	0.01595	0.00494	1.37601	0.00526	0.00996	1.32378	0.02083	0	0	0	0	0	0	3.92313	1.37863	0.00369	7.78438	1.94276	0	0	0	0	0	2.75302	0	0	0.00919	0.01215	0.01078	0.0108	0	0	1.57449	0.00821
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.21077	1.97248	0.02533	0.00638	0.02039	0.00491	0.00467	0.00428	0.07268	6.13951	0.02426	0.47154	0.00666	0.00701	0.03683	0.01364	0.00806	0.60439	0.00929	1.03985	1.54571	0.01278	0.01093	1.71322	0.00299	1.39223	8.73383	5.74434	2.42942	0.0045	0.06034	0.01613	1.30212	0.1085	8.49632	0.00777	2.07818	0.01338	0.08269	0.01846	0.06017	0.0123	0.02115	0.047
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	0	0	0	0.0231	0.00035	0	0.08742	0.11502	0	0	0	0	0	0	0	0	0	0.2307	0	0	0	0	0	0	0	0.01989	0.00215	0	0.00947	0	0	0	0	0	0.00738	0.00455	0	0	0	0	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.00224	0	0.01569	0.0591	0	0.07432	0.02083	0.02213	0	0	0.01071	0	0.17173	0	0	0.09774	0	0.00814	0	0.01074	0	0	0	0.04403	0	0.15362	0.01977	0.006	0.37854	0	0.00804	0.0057	0	0	0	0	0	0.063	0.00012	0.0123	0.00034	0	0.0921	0.00971
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	0	0	0.02295	0.02901	0	0.05151	0.00376	0	0	0	0.03443	0	0	0.12885	0	0	0.03253	0.0139	0	0	0	0.00524	0	0	0	0	0	0	0	0.01307	0	0	0	0	0	0	0	0.0809	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.20055	0	0.27509	0.66783	0.05738	0.01372	0.00733	0.00933	0.48912	0	0.03866	0	0.14689	0.03618	0	0.00216	0.00566	0.02748	0.03708	0.02687	0	0.00673	0	0.89493	0.06329	0.35906	2.1896	0.05653	0.22795	0.00162	0.08382	0.09878	0	0	0.07787	0.01327	0.00106	0.03456	1.40593	0.00468	0.72966	0.03881	0.00388	0.03078
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales|f__Gallionellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
