#OTU_ID	SRR9207262	SRR9207263	SRR9207264	SRR9207265	SRR9207266	SRR9207267	SRR9207268	SRR9207269	SRR9207270	SRR9207271	SRR9207272	SRR9207273	SRR9207274	SRR9207275	SRR9207276	SRR9207277	SRR9207278	SRR9207279	SRR9207280	SRR9207281	SRR9207282	SRR9207283	SRR9207284	SRR9207285	SRR9207286	SRR9207287	SRR9207288	SRR9207289	SRR9207290	SRR9207291	SRR9207292	SRR9207293	SRR9207294	SRR9207295	SRR9207296	SRR9207297	SRR9207298	SRR9207299	SRR9207300	SRR9207301	SRR9207302	SRR9207303	SRR9207304	SRR9207305	SRR9207306	SRR9207307	SRR9207308	SRR9207309	taxonomy
Averyella_dalhousiensis:Enterobacter_aerogenes:Enterobacter_asburiae:Enterobacter_cancerogenus:Enterobacter_cloacae:Enterobacter_hormaechei:Enterobacter_ludwigii:Erwinia_aphidicola:Erwinia_persicina:Erwinia_rhapontici:Klebsiella_alba:Klebsiella_granulomatis:Klebsiella_oxytoca:Klebsiella_pneumoniae:Klebsiella_singaporensis:Klebsiella_variicola:Kluyvera_ascorbata:Kluyvera_cryocrescens:Kluyvera_intermedia:Lelliottia_amnigena:Pantoea_agglomerans:Raoultella_terrigena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__unassigned
Averyella_dalhousiensis:Enterobacter_aerogenes:Enterobacter_asburiae:Enterobacter_cancerogenus:Enterobacter_cloacae:Enterobacter_hormaechei:Enterobacter_ludwigii:Erwinia_aphidicola:Erwinia_persicina:Erwinia_rhapontici:Klebsiella_granulomatis:Klebsiella_oxytoca:Klebsiella_pneumoniae:Klebsiella_senegalensis:Klebsiella_singaporensis:Klebsiella_variicola:Kluyvera_ascorbata:Kluyvera_cryocrescens:Kluyvera_intermedia:Lelliottia_amnigena:Pantoea_agglomerans:Raoultella_terrigena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	1	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__unassigned
Averyella_dalhousiensis:Enterobacter_aerogenes:Enterobacter_asburiae:Enterobacter_cancerogenus:Enterobacter_cloacae:Enterobacter_hormaechei:Enterobacter_ludwigii:Erwinia_aphidicola:Erwinia_persicina:Erwinia_rhapontici:Klebsiella_granulomatis:Klebsiella_oxytoca:Klebsiella_pneumoniae:Klebsiella_singaporensis:Klebsiella_variicola:Kluyvera_ascorbata:Kluyvera_cryocrescens:Kluyvera_intermedia:Lelliottia_amnigena:Mangrovibacter_plantisponsor:Pantoea_agglomerans:Raoultella_terrigena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__unassigned
Averyella_dalhousiensis:Enterobacter_aerogenes:Enterobacter_asburiae:Enterobacter_cancerogenus:Enterobacter_cloacae:Enterobacter_hormaechei:Enterobacter_ludwigii:Erwinia_aphidicola:Erwinia_persicina:Erwinia_rhapontici:Klebsiella_granulomatis:Klebsiella_oxytoca:Klebsiella_pneumoniae:Klebsiella_singaporensis:Klebsiella_variicola:Kluyvera_ascorbata:Kluyvera_cryocrescens:Kluyvera_intermedia:Lelliottia_amnigena:Pantoea_agglomerans:Raoultella_terrigena	0	0	0	0	48	0	0	0	0	0	0	0	0	1	0	10	0	0	0	14	0	298	0	0	0	0	2	10	0	0	0	0	0	0	862	46	0	1	2	0	0	0	0	0	0	56	2	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__unassigned
Azotobacter_tropicalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Azotobacter
Bacteroides_acidifaciens	90	2	2	7	59	3	2	0	4	7	9	9	0	0	5	3	33	6	12	6	1	10	0	2	7	2	4	1	0	9	4	5	0	10	14	5	8	4	2	13	1	2	2	0	0	4	3	28	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
Bacteroides_acidifaciens:Bacteroides_caccae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
Bacteroides_acidifaciens:Bacteroides_finegoldii	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
Bacteroides_acidifaciens:Bacteroides_finegoldii:Bacteroides_xylanisolvens	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
Bacteroides_acidifaciens:Bacteroides_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
