kegglevel2	Wargo.122637.R1	Wargo.120662.R1	Wargo.122410.R1	Wargo.124418.R1	Wargo.133270.R1	Wargo.122639.R1	Wargo.132266.R1	Wargo.109865.R1	Wargo.115690.R1	Wargo.117349.R1	Wargo.121892.R1	Wargo.126747.R1	Wargo.126802.R1	Wargo.130510.R1	Wargo.130511.R1	Wargo.130801.R1	Wargo.131541.R1	Wargo.132265.R1	Wargo.123009.R1	Wargo.127262.R1	Wargo.127261.R1	Wargo.131300.R1	Wargo.131512.R1	Wargo.121296.R1	Wargo.121585.R1	Wargo.122412.R1	Wargo.123986.R1	Wargo.124419.R1	Wargo.132538.R1	Wargo.132268.R1	Wargo.131302.R1	Wargo.116774.R1	Wargo.121891.R1	Wargo.122114.R1	Wargo.123197.R1	Wargo.124421.R1	Wargo.131051.R1	Wargo.121409.R1	Wargo.118370.R1	Wargo.123704.R1	Wargo.122724.R1	Wargo.123305.R1	Wargo.118369.R1
Metabolism;Energy_Metabolism	0.0595484230908	0.0602191289295	0.0576964830109	0.0603040374819	0.056919932005	0.0553419980078	0.0559328924521	0.0646644084187	0.0586037398563	0.0596650933212	0.059424885264	0.0577753221709	0.0631927474495	0.0682796153602	0.0626425876396	0.058047318298	0.0602219739978	0.0615720672846	0.0584149710861	0.0584893539556	0.0629987902073	0.0614197711746	0.0603506643592	0.0607276998014	0.0614001159621	0.0622721428662	0.0539664542529	0.0640200827742	0.0655995097126	0.06039098841	0.0560762805523	0.063082773288	0.0608429826924	0.0617286494066	0.0603416457919	0.0625211022195	0.060547404101	0.061457561289	0.0561082928108	0.0581058998699	0.0610026523506	0.0631068817135	0.0640775537576
Metabolism;Enzyme_Families	0.0213404341117	0.0215846775696	0.021514966516	0.0220703381634	0.0204011363069	0.021322969502	0.021844522775	0.0247697316373	0.0214101974963	0.0210879432447	0.021972371735	0.0213960177832	0.0221276367857	0.0200480653383	0.0217941483286	0.0213574668063	0.0221720527767	0.0219363623229	0.0218174625254	0.0216668971384	0.0211500046832	0.0220728904404	0.0212030038853	0.0224206178355	0.0216181030478	0.0221373038879	0.0226258320723	0.0220862517715	0.0260968225606	0.0217405413381	0.0210405111555	0.022062781795	0.021268689258	0.0219305483583	0.0219097399579	0.0215349986101	0.0213732768699	0.0215042053253	0.0213830266104	0.0213215694774	0.021013719535	0.021642404641	0.0244908170605
Metabolism;Glycan_Biosynthesis_and_Metabolism	0.0317298113111	0.0284764011863	0.024276731531	0.0276937646096	0.0293274542479	0.0204605058387	0.0160398115951	0.0391986794725	0.026580753324	0.0234457651957	0.0253566613507	0.0256381453219	0.0332986787403	0.0312214565764	0.0339214621567	0.0263601618897	0.0277089227077	0.0359042672751	0.0315470969766	0.0321155818741	0.0278327116986	0.0344659712507	0.0291209894524	0.0304235934738	0.0304285194669	0.0348236024233	0.0236084766593	0.0447139320646	0.0416195236485	0.0304188590972	0.0160602652105	0.0271797532965	0.0338034208304	0.0372247513315	0.0343359547865	0.0396140921017	0.0348616473584	0.0294670304708	0.0250018375127	0.0154397086108	0.0373422251706	0.0371086976918	0.0359035338396
Metabolism;Lipid_Metabolism	0.0291103996753	0.0300354642073	0.0289532780288	0.0293690236285	0.0347568370514	0.027525404758	0.0266234310251	0.0267131236879	0.0302862712027	0.0294976095713	0.0289523258947	0.0291852947362	0.0279372678133	0.030762953278	0.02948092718	0.0301812849806	0.0301165014242	0.0314548111522	0.0294619477715	0.0296317382354	0.0305957899783	0.0298452093105	0.0302651521148	0.0301215910433	0.030380802155	0.0312263600707	0.0298082592727	0.032029480975	0.025013970431	0.0297559757043	0.0269252409543	0.0299273500638	0.0303132420622	0.0302072701702	0.0299710701664	0.0316681318632	0.0315024909583	0.0299627282565	0.0312180411566	0.0280802232268	0.0320205952615	0.0312488911364	0.0266970158611
Metabolism;Metabolism_of_Cofactors_and_Vitamins	0.0430101807749	0.0430608026585	0.0425340690762	0.0441248147277	0.041384299203	0.041446542033	0.0393898800731	0.0488929277033	0.0419015396735	0.042155443923	0.0435705161338	0.0420778094668	0.0474517232026	0.043765879466	0.0457019389367	0.044630512449	0.0436148469999	0.0433334790001	0.0429800735218	0.0440554042416	0.0422757921436	0.0451531031153	0.0434355208681	0.0444994633731	0.0443898846502	0.0446041762021	0.0417497495791	0.0457826294083	0.0501501102687	0.0441173397907	0.0399772289531	0.0447186729051	0.0446765450195	0.0440898202271	0.0430610872409	0.0447683445238	0.0430821852901	0.0433589656834	0.0392863733008	0.0420441817041	0.0406302863837	0.0464459004103	0.0479933245671
Metabolism;Metabolism_of_Other_Amino_Acids	0.0166821515238	0.0160029377914	0.0148440467359	0.0151629054768	0.0138219077435	0.0153619652187	0.0133959350619	0.016609806698	0.0148760030097	0.0140965855508	0.014325597358	0.0152013251442	0.0163878582414	0.0152251686963	0.0164094088481	0.0141419184045	0.0148723081623	0.0163159966939	0.016843806761	0.0158570398325	0.0144368480715	0.0157413440982	0.0159737839106	0.0152375406243	0.0159858396626	0.0158711333816	0.0143050375454	0.0180663369937	0.0165181661596	0.0162448034842	0.0146573271661	0.0150839642705	0.0165963747583	0.016673481422	0.016239692889	0.0172632540018	0.0164668468471	0.0162973759487	0.0137386926213	0.0138699372887	0.0160410692001	0.0171766913013	0.016078024334
Metabolism;Metabolism_of_Terpenoids_and_Polyketides	0.0171836647395	0.0160118905733	0.016220174866	0.0167435823676	0.0173539435614	0.0145223739633	0.0148012991858	0.0194207980046	0.0170306369269	0.0164451154262	0.017516005143	0.0159702975343	0.0174540399766	0.0171721714334	0.0168583220587	0.0160710667319	0.0171055536454	0.01701268785	0.0158060862814	0.0163443125407	0.0166443547695	0.0170821193921	0.0164315489606	0.0167798657945	0.0165438621132	0.017520564752	0.0159595916541	0.017931699848	0.0208001320005	0.0159866765061	0.0133539326698	0.0162843045513	0.0164338095792	0.0168683588983	0.0164175599898	0.0174420155077	0.0172056826845	0.0157492284165	0.0164677679188	0.0148398453744	0.0165658611216	0.0173543271639	0.0190598302053
Metabolism;Nucleotide_Metabolism	0.0400938974574	0.0378539606228	0.0395564201088	0.0401615689902	0.0348020858878	0.0364388222609	0.0386720296735	0.0482062675592	0.0409709688985	0.0393156166678	0.0427143956114	0.038219537042	0.0431257589181	0.0434635979901	0.0407885250416	0.0390448993936	0.0405441828328	0.0397009413485	0.0365506359356	0.03961481169	0.039219614241	0.0398116647837	0.0380343265463	0.0401649029145	0.0384776196804	0.0399200930658	0.0406952110995	0.0400412311259	0.0523008667416	0.038758246519	0.0353790780328	0.0396490004254	0.0389620920953	0.0384730603437	0.0383068980905	0.0390563381237	0.0398760314227	0.0381019752765	0.0397745965658	0.0377350114471	0.0374735994924	0.0400649415815	0.0473713497449
Metabolism;Xenobiotics_Biodegradation_and_Metabolism	0.0166919592286	0.013973533978	0.0162210553063	0.0153375788894	0.0195937012665	0.0156748223075	0.0156306192297	0.0138735127095	0.0164856662408	0.0160524829947	0.0155813518582	0.0163549414996	0.0155687214551	0.0135799307147	0.016622659266	0.0167689262758	0.0159539094663	0.0156730419204	0.0152110011416	0.0160848130203	0.0162887533437	0.0153794585566	0.0168181579581	0.0167186130969	0.0165674506711	0.0167436255626	0.0168278595938	0.0158552638684	0.013459331673	0.0150042777705	0.0135700808672	0.0165732028924	0.0154733362506	0.016636061583	0.0141357049936	0.0149025173507	0.0171001636965	0.016551995627	0.018685290918	0.0160786298999	0.0125244695696	0.0153132562722	0.014723876437
Organismal_Systems;Circulatory_System	8.48743689591e-06	0.0	0.0	0.0	0.0	0.0	5.29128058691e-07	0.0	0.0	7.34918707854e-05	0.0	8.33027127497e-05	0.0	0.000882558565529	0.0	0.0	0.0	1.25454589934e-06	4.55074029926e-07	6.56406881245e-06	0.000157590015951	5.80254743437e-07	0.0	0.0	1.08039196621e-06	8.34350446258e-06	0.0	2.87993894529e-06	0.0	0.0	3.68225208501e-07	2.55210548703e-06	0.0	0.0	0.0	0.0	2.98294062345e-05	0.0	0.0	1.50997626217e-06	5.29024114506e-07	0.0	0.0
Organismal_Systems;Digestive_System	0.000363262299145	0.000520380448467	0.000350415224432	0.000547323080996	0.000184815827685	0.00047042256573	0.000179727163935	0.00151110655749	0.000419332522004	0.000376075642226	0.000427747884481	0.000440494647722	0.000788867376911	0.000422160625314	0.000633759826772	0.000171386093871	0.000467081493337	0.000795382100181	0.000563078266362	0.000570198777508	0.000530285951981	0.000738664288396	0.000393441311671	0.000615367680414	0.000496079977816	0.000652183932159	0.000557817039989	0.000951099836683	0.00198259387785	0.00058855169871	0.0002382417099	0.000462271373883	0.000609523794952	0.000755544390335	0.0007702628464	0.000838890910283	0.000719761251114	0.000470140454699	0.000667266569481	0.000188747032771	0.000831802249375	0.000673100596974	0.00132932847071
Organismal_Systems;Endocrine_System	0.00355774493706	0.00338798846818	0.00331626629233	0.00373667943884	0.00299633257584	0.00239625256328	0.00269643658709	0.00385852025117	0.00353301789132	0.00357221176066	0.00398217869866	0.00312369395782	0.00365025793029	0.00378222161211	0.00382386181195	0.00272370474931	0.00395877686565	0.00429577425032	0.0031488089044	0.00346801635591	0.00397126840197	0.0039478598561	0.00352097478793	0.00374209596078	0.00356007159397	0.00407242479721	0.00341851196692	0.0047115801145	0.00371423742144	0.0036263512143	0.00200216320036	0.0035477669077	0.0038105277975	0.00422087375324	0.00377137604592	0.00428168835835	0.00416759418534	0.0037142049553	0.0040589707371	0.00272389651186	0.00374214024465	0.00416921818669	0.00371670908307
Organismal_Systems;Environmental_Adaptation	0.00132460598489	0.00167369060369	0.00160803609523	0.00153661689323	0.00159075328687	0.0016472146423	0.0016732792976	0.00138366687621	0.00163693196451	0.0017457275881	0.00155251240448	0.00158496032629	0.00135187839148	0.00182953494985	0.00129614536001	0.00140575366949	0.00154616744543	0.00137310048683	0.00151721681577	0.00137823564832	0.00159851477197	0.00139067720177	0.00148344538606	0.00145887946623	0.00154424025036	0.00142276616574	0.00151446047612	0.00116877522197	0.00132632857074	0.00156910138714	0.00204070410551	0.00158792003403	0.00139155793287	0.00136140942454	0.00144519337808	0.00128229176319	0.00136505044721	0.00157444602578	0.00147211822142	0.00187206856983	0.00134513198182	0.00128764231278	0.0014449869971
Organismal_Systems;Excretory_System	0.000338554427292	0.000247320600239	0.000294771399849	0.000318798560237	0.000661420985384	0.000159036801437	0.000203714302596	0.000199865797183	0.000386408051346	0.000289574865577	0.000334034862077	0.000282251047555	0.000205366300601	0.000203587865819	0.000294911347962	0.000369797140669	0.000354664613624	0.000420481967262	0.000369823494987	0.000415943160415	0.000373052071659	0.000415268978053	0.000296789062298	0.000430721867479	0.000353288172949	0.000493260037633	0.000359611545648	0.00050206935613	8.33626539909e-05	0.000314892724758	3.62088121693e-05	0.000276648234794	0.000324365345541	0.000413510243681	0.000317898030034	0.000383738352818	0.000486604871771	0.000198546131173	0.000450700060726	0.000102275725491	0.0002407059721	0.000426238993815	0.000170509458435
