kegglevel3	SRR6000915	SRR6000939	SRR6000948	SRR6000918	SRR6000925	SRR6000937	SRR6000938	SRR6000930	SRR6000927	SRR6000872	SRR6000881	SRR6000883	SRR6000885	SRR6000887	SRR6000904	SRR6000913	SRR6000917	SRR6000919	SRR6000922	SRR6000935	SRR6000936	SRR6000941	SRR6000875	SRR6000876	SRR6000897	SRR6000889	SRR6000914	SRR6000916	SRR6000933	SRR6000929	SRR6000879	SRR6000882	SRR6000880	SRR6000884	SRR6000886	SRR6000888	SRR6000898	SRR6000924	SRR6000923	SRR6000926	SRR6000928	SRR6000934
Environmental_Information_Processing;Signal_Transduction;Phosphatidylinositol_signaling_system	0.00100301866433	0.000947232379029	0.000838376467719	0.00101362223848	0.00106709057385	0.000867037947258	0.000947729824791	0.000918442640481	0.000926918205472	0.000950118764846	0.000864316031738	0.000914483467762	0.000903348874854	0.00091265040806	0.000854816839608	0.00108550912532	0.00091996290612	0.000768930281766	0.000898033394714	0.00096507235499	0.00117689714145	0.000989853494289	0.000909721492279	0.00104472003736	0.00095727580347	0.000799445989599	0.000939911556387	0.000929020313638	0.000922943098983	0.000937845922072	0.000973248357165	0.00100372350071	0.000958126029904	0.00115321573258	0.00093730719885	0.00105203410818	0.0009392447518	0.000690604570259	0.0012453830725	0.000897557318166	0.000988292169515	0.00113192023827
Environmental_Information_Processing;Signal_Transduction;TGF-beta_signaling_pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Environmental_Information_Processing;Signal_Transduction;Two-component_system	0.0125877424	0.0142567645256	0.013124785992	0.0122060209728	0.0149824638603	0.0138727742316	0.0141630108888	0.0133065635143	0.0130382895036	0.0135294077953	0.014739444691	0.0130933334808	0.0152752802845	0.0122407451959	0.0134735159209	0.0123528983139	0.0125138873305	0.0118332764105	0.0125143036401	0.0143827370242	0.0109434810285	0.0129079621087	0.0127219732818	0.0124971097512	0.0130383501251	0.0145787764439	0.0133241115384	0.0141126418901	0.0167389867559	0.0169578777812	0.0132380314638	0.0126804250074	0.0117980421773	0.0151766816119	0.0133988473369	0.0127271983761	0.0152257820061	0.012932353859	0.0117640213641	0.0128741780699	0.0202111178843	0.0143978378197
Environmental_Information_Processing;Signal_Transduction;VEGF_signaling_pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Environmental_Information_Processing;Signal_Transduction;Wnt_signaling_pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Environmental_Information_Processing;Signal_Transduction;mTOR_signaling_pathway	0.0	0.0	0.0	0.0	9.33348555262e-06	0.0	0.0	0.0	0.0	1.0796804146e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.60523975941e-07	4.1963014722e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.11840634241e-06	2.01851168657e-06	0.0	0.0	0.0	5.79314498313e-08	6.38670237472e-07	0.0	0.0	0.0	0.0	9.89824799031e-07	0.0	0.0	0.0	0.0	0.0
Environmental_Information_Processing;Signaling_Molecules_and_Interaction;Bacterial_toxins	0.001335009515	0.00124603925461	0.00137556595042	0.00154938684115	0.00132842816932	0.00121296762638	0.00124817679525	0.00131501358309	0.0013178658318	0.00128427985316	0.00119299698357	0.00124203240661	0.00119477267483	0.00138311959959	0.00132903312486	0.00152095012753	0.00147425219504	0.00131730295815	0.00133018894124	0.00131089882227	0.00162367879675	0.00132067447759	0.00147645600569	0.0014473783311	0.00140345735489	0.00125223859052	0.0013144295789	0.00128666800277	0.00110727779238	0.00112209727081	0.00137071603446	0.00139160922493	0.00149098483845	0.00141864518786	0.00129096769447	0.00146992961467	0.00125549377509	0.00111148558397	0.00164442488347	0.00140633389406	0.000989585068743	0.00158881577754
Environmental_Information_Processing;Signaling_Molecules_and_Interaction;CAM_ligands	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Environmental_Information_Processing;Signaling_Molecules_and_Interaction;Cellular_antigens	0.000621338995601	0.000464367222521	0.000241320022314	0.000691295706766	0.000329688303697	0.000354951752375	0.000480937523028	0.000286189304163	0.000567804885859	0.000442061649752	0.000400691848082	0.000441983757995	0.000298109023007	0.000482946666912	0.000521833508604	0.000585221708288	0.000487190266982	0.000124672116739	0.000603175790675	0.000605166739705	0.00106259287222	0.000471731586177	0.000550614548021	0.000692411368363	0.000688746137321	0.000289671600061	0.000302230072737	0.000740780961816	0.000531499688504	0.000719367098584	0.000596172550214	0.000482142806772	0.000632674226505	0.00052173762344	0.000463205048372	0.000679088376688	0.000354654225493	0.000370132432032	0.00112443354541	0.000411311453685	0.000317499110301	0.000656013441959
Environmental_Information_Processing;Signaling_Molecules_and_Interaction;Cytokine_receptors	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
