species	SRR6000869	SRR6000870	SRR6000871	SRR6000873	SRR6000874	SRR6000877	SRR6000878	SRR6000890	SRR6000891	SRR6000892	SRR6000893	SRR6000894	SRR6000895	SRR6000896	SRR6000899	SRR6000900	SRR6000901	SRR6000902	SRR6000903	SRR6000905	SRR6000906	SRR6000907	SRR6000908	SRR6000909	SRR6000910	SRR6000911	SRR6000912	SRR6000920	SRR6000921	SRR6000931	SRR6000932	SRR6000940	SRR6000942	SRR6000943	SRR6000944	SRR6000945	SRR6000946	SRR6000947	SRR6000949
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_lenta	0.00209	0	0	0.02397	0.03569	0	0	0.01005	0	0.01322	0	0.01953	0.00482	0.00094	0.04423	0.02114	0.00616	0.02353	0.03076	0.00262	0	0.0082	0.03307	0.1488	0.02082	0.00139	0.00522	0.0016	0	0	0	0.02013	0.03751	0.00332	0.00016	0	0.00441	0	0.00518
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_sp_1_3_56FAA	0	0	0	0	0	0	0	0	0	0.05182	0	0.17867	0	0	0	0	0	0	0	0	0	0	0.32225	0	0	0	0	0.08398	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified	0.14404	0.00673	0	0.0847	0.53093	0	0.00345	0.10139	0.00786	0.10493	0	0.1118	0.0084	0.00706	0.13581	0.31552	0.11678	0.03627	0.45002	0.10559	0.00188	0.07085	0.31177	0.90833	0.15801	0.02282	0.12046	0.0356	0.04432	0	0.04251	1.57764	0.26628	0.07336	0.03508	0	0.14996	0.00325	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae	0	0	0	0.00411	0.00202	0.07273	0	0.01377	0	0.00228	0	0.00836	0.00106	0	0.01916	0.01098	0.00529	0	0.0483	0.05912	0.0037	0.00875	0	0.08861	0.01739	0.00212	0	0.03195	0	0	0.00793	0.00546	0.03093	0.00328	0.00411	0	0.03504	0.01102	0.00486
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_uli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00049	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00017	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_unclassified	0	0	0	0	0	0	0	0	0	0	0	0.00046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	6.19494	2.3243	7.32849	7.79291	0	3.75626	0	0	0.30346	0.0003	0	4.08953	5.11605	4.32887	1.04878	0	0	0	3.93572	0	0	0	6.0181	7.22345	0	0.35111	0.0015	9.23975	0	0.88372	3.93836	0	0	0.00177	0.87326	0	0	0	5.39858
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus	0.00016	2.06187	0	0.37396	0	8.64854	8.79093	7.48446	6.19136	0	1.74337	0	0	0	1.1151	0	11.87727	1.22915	0	4.12942	1.07414	9.3857	0	4.2193	0	0.97489	0	0	22.71784	0.20994	0.82137	3.91182	0.01341	0.00041	1.72347	0	3.24714	0.13084	0.0001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.33832	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	1.23529	6.29415	0.00044	0.00304	13.82698	7.36091	0.00304	6.41396	0.29876	8.69657	0.5714	0.0019	0.00389	7.51924	14.20092	0.00221	0.00347	0.0014	0.96223	1.77671	0.00251	4.70123	0.00214	0.00121	0.00037	0.07173	7.47432	3.2246	0.13569	0.13499	5.80837	0.0102	0.00479	0.007	34.75884	48.06061	0.00174	2.20128	0.00426
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii	0.00024	0.40035	0	13.72928	0	0.0008	0.00029	0	0.00056	0	0	0	0.00129	0.00085	3.70426	0	0	0	0.00056	0	4.98888	0	0	0	0	25.24204	0.00188	0	0	0.55131	0	0	0	0	0.00065	0	0	0	0.00027
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis	0	0.0008	0	0.03304	0	8e-05	0	0	0.10075	0	0.01057	0.10135	0.17439	1.10603	0	0	0	0	3.6333	0	0.00172	0.49313	0	3.25855	0	1.43525	6.18389	2.10358	2.19256	0.00055	0.00236	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii	0	0	0	0	0	0	6.11849	0	2.13858	0	0	0	0.00061	0.20057	0	0	0	0	0	0	0	0	0	0	0	0.51438	0	0	0	0	0	0.02134	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fluxus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.70692
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0	0.01118	0	0	0	0.00013	0	0.81102	0	1.52193	0.98984	0.74682	22.08018	0	0	4.22155	2.8121	0	0	0.72718	0.28114	4.60977	0	0.6676	0	0.00175	0	0.00021	0	0.01454	0.42977	0.14492	0	0	0.13878	0	0	0	0.14047
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	0	0.35194	0	0	0	0	0	7.1325	0	0	0	0	0.7406	0	0	0	0	3.93319	0	0	0	0.00117	0	0	13.64512	0.00344	0	0	1.84622	0.16875	0	0	6.49516	0	5.94415	0	0	0	0.63604
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis	0	0	0	3.749	0	0	0	0	0	0	0	0	0	0	1.29858	0	0	0	0	0	0	0	0	0	0	10.88457	0	0	5.93805	0	0	0	7.16182	0	10.09748	0	2.74492	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii	0	0.05164	0	0.01082	0	1.68379	0	0	0.00027	0.37188	0	0	0.12761	0	0	0	0	0	0	0	0	0	0.53072	0	0	0.79536	0	0	0.20518	0.00276	0.38426	0	0	0	0	0	0	0.06642	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	2.72626	23.48486	8.2212	0.64644	5.05035	0.00353	4.15564	3.47494	0.94974	0.77429	0.61604	3.72317	0.76318	16.25153	9.65376	19.91927	1.99869	0.02472	2.26678	1.05497	0.33599	6.36205	1.7777	0.60678	0.02499	1.65133	0.01233	0.71965	4.46873	29.23095	0.40147	0	4.68424	25.21303	3.69491	0.01814	0.2938	0.16822	1.57493
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.56802	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae	0	0.02377	0	0	0	0	0	0	0	0	5.35631	2.17093	0	0.46863	0	0	0	2.57699	0	0	0	0	0	0	2.26634	0	0	0	0	0.02802	0	0	0	0	0	0	0.1933	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_1_1_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46274	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_2_1_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.11219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_3_1_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11709	0	0	0	0	0	0	0	0	0
